app_name,app_code,bf_qa,bf_nxt,bf_prf,bf_prd,pp_qa,pp_nxt,pp_prf,pp_prd
admin,obadm,1,2,2,4,1,2,2,4
bet_auth,obbac,1,2,1,2,0,0,0,0
bet_voider,obbv,1,2,2,2,1,2,2,2
bulletin_fbr,obbulfbr,2,2,2,2,2,2,2,2
bulletin_fmg,obbulfmg,2,2,2,2,2,2,2,2
dbPublish,obpub,2,4,4,12,1,4,2,12,
dw_forwarder,obdwf,1,2,2,2,1,2,2,2
dw_reporter,obdw,1,2,1,2,1,2,2,2
event_manager,obem,1,2,1,2,1,2,1,2
feed_bf_exchange,obfhex,1,2,1,2,1,2,1,2
feed_fmm,obfhfmm,1,2,2,8,1,2,2,8
feed_misc,obfhmsc,1,1,1,2,1,1,1,2
feed_ti,obfhti,1,2,2,2,1,2,2,2
gdprcs,obgcs,1,2,2,2,1,2,2,2
jms,objmsp,1,2,2,6,1,2,6,6
jms_it,objmspit,1,1,1,2,0,0,0,0
liability_engine,oble,1,2,2,2,1,2,2,2
liveserv,obls,1,2,1,2,1,2,2,2
office,oboff,1,2,1,2,1,2,1,2
offline_uploader_tdus,obou,1,2,2,2,1,2,1,6
oxi_bet,oboxibet,1,2,1,32,1,1,1,36
oxi_misc,oboximsc,1,1,1,8,1,1,1,8
oxi_rep,obrep,2,2,2,2,2,2,2,2
oxi_ro,oboxiro,1,2,1,15,1,1,1,20
oxi_secure,oboxisec,1,2,1,8,1,1,1,8
perfmon_release_scripts,obpm,1,1,1,1,1,1,1,1
rpt,obrpt,1,2,1,2,1,2,1,2
settlement_engine,obstl,1,1,1,2,1,1,2,2
ti2,obti,1,2,2,4,1,2,2,4
trackers,obtrk,1,2,1,2,1,2,1,3
xsys,obxsq,2,2,4,2,2,2,2,2
dbServer,ixs,2,2,2,2,2,2,2,2
